month,year,site,receipts,receipts_mom_var,ytd_receipts,dispatches,dispatches_mom_var,ytd_dispatches
9,2024,Dalmuir,5077,72,29639,2067,-68,30138
9,2024,Kilmalid,11119,53,39652,5938,14,63887
9,2024,KB3,22476,-27,215908,22176,-31,166893
10,2024,Dalmuir,6560,29,36199,4874,136,35012
10,2024,Kilmalid,5314,-52,44966,10744,81,74631
10,2024,KB3,25983,16,241891,23055,4,189948
11,2024,Dalmuir,2955,-51,24562,6524,22,28071
11,2024,Kilmalid,7288,69,28533,5222,-67,57949
11,2024,KB3,30780,-28,193432,32136,1,144717
12,2024,Dalmuir,6052,48,21607,5328,35,21547
12,2024,Kilmalid,4304,-50,21245,15715,159,52727
12,2024,KB3,42709,1,162652,31968,15,112581
1,2025,Dalmuir,4083,-12,15555,3961,-53,16219
1,2025,Kilmalid,8600,103,16941,6070,-27,37012
1,2025,KB3,42277,-2,119943,27803,-6,80613